season,temp,temp feel,humidity,windspeed,rentals
1,57.4,64.7,80.6,10.7,99
1,58.8,63.8,69.6,16.7,80
1,46.5,49,43.7,16.6,135
1,46.8,51.1,59,10.7,156
1,48.7,52.6,43.7,12.5,160
1,47.1,53,51.8,6,161
1,46.5,50.8,49.9,11.3,151
1,44.2,46.6,53.6,17.9,96
1,42.2,42.5,43.4,24.3,82
1,43.1,45.6,48.3,15,132
1,44.5,49.2,68.6,8.2,126
1,44.7,46.4,60,20.4,116
1,44.2,45.6,47,20.2,141
1,43.9,49,53.8,8.5,142
1,49.2,54.3,49.9,10.6,125
1,49.1,53.1,48.4,12.6,120
1,45,47.9,53.8,13,100
1,48,52.9,86.2,9.8,68
1,53.6,58.9,74.2,14,165
1,51.3,55,53.8,13.1,193
1,45.1,46.2,45.7,23.7,154
1,36.4,39.1,40,11.5,98
1,39.1,40.9,43.7,16.5,99
1,39.2,42.6,49.2,10.6,142
1,48.5,53.1,61.7,8.7,199
1,48.1,50.3,86.3,19.7,51
1,46.4,51.8,68.8,7.6,43
1,47,52.1,79.3,8.3,117
1,46.5,51.1,65.2,9.7,110
1,48,54.5,72.2,5,110
1,45.3,48.8,60.4,12.5,150
1,46.2,53.1,83,3.6,136
1,51.2,54.9,77.5,17.7,153
1,45.8,48,43.8,18.6,155
1,47.6,52.6,58.5,8.6,171
1,49.2,53.9,92.9,10.8,101
1,53.1,58.3,56.8,9.5,162
1,52,59.3,73.8,3,171
1,48.3,49.8,53.8,24.3,153
1,41.9,45,49.5,12.7,161
1,42.7,45.5,43.7,14.9,154
1,46,51.2,50.6,7.3,175
1,48.4,53,54.4,13.6,147
1,55.4,61.2,45.7,17.5,159
1,62.6,67.9,37.6,28,191
1,51.6,54.9,31.4,19.5,182
1,55.5,60.5,42.3,16.9,212
1,64.2,70.6,50.5,15.4,248
1,70.5,78.1,51.7,17.7,293
1,61.5,67.2,18.8,34,164
1,53,57,40.8,15,181
1,54.4,57.6,60.5,20.6,111
1,45.4,48.7,57.8,13.1,145
1,48.4,54.1,42.3,6.3,192
1,53.8,58,69.7,16.8,181
1,58.9,63.5,71.2,23.2,146
1,52.8,57.4,53.8,12.5,197
1,57.3,63.6,68,8.4,240
1,62.1,68,87.6,19.4,145
1,51.7,55.7,53.5,14.5,185
1,56.7,60.8,45,20.6,213
1,46.6,50,31.8,15.1,169
1,51.3,55,61,13.6,194
1,60.4,66.1,78.9,16.9,208
1,59.8,65,94.8,23,61
1,51.3,53.5,55.1,22.9,187
1,53.6,59.2,42.1,8.1,213
1,53.8,57.8,77.5,14.8,189
1,60.7,66.7,0,17.5,62
1,55.4,59.5,65,15.6,198
1,56.3,61.3,59.5,14.8,213
1,60.4,66.2,52.7,18.1,242
1,56,61.9,49.7,9.2,205
1,55.4,60.6,65.6,12.3,206
1,59,65,77.7,13.6,219
1,62.6,68.9,60.3,14,274
1,71.9,79.4,52.5,15.5,324
1,66.9,74,37.9,24.7,312
1,56.5,61.3,47.4,13.9,247
1,85.2,91.4,58.8,13.9,666
1,80.2,85.8,83.3,14.4,497
1,80.4,87,58.2,23,742
1,79.8,88.2,57,17,736
1,79.2,86,59,11.8,767
1,78.6,85.5,50.4,11.2,770
1,75.7,83.5,59.9,9.7,698
1,73.9,81,77.8,11.7,510
1,82.8,90.9,69,9.9,683
1,89.7,96.9,59.2,7.6,621
1,82.2,89.4,77,11.5,484
1,86.1,94.4,70.8,11.5,451
1,85.8,94.4,70.3,16,479
1,85.4,91.1,57.3,14.9,499
1,83.3,89.9,48.3,14,520
1,82.2,89.4,51.3,6.3,531
1,82.4,89.3,65.8,7.2,471
1,86.9,94.3,63.4,9.7,465
1,85.8,90.9,49.8,17.5,523
1,83.4,89.3,43.4,12.4,552
1,85.3,90.7,39.6,6.9,536
1,86.5,92.1,44.5,7.7,512
1,84.9,92.2,68.3,15.3,465
1,85.6,91.9,63.8,5.5,604
1,87.1,94.7,59,8.5,467
1,85.1,93.7,74.3,10,463
1,87.4,93.8,65.1,10.7,459
1,84.3,92.3,75.8,15.1,404
1,86.1,91.8,60.9,11.3,534
1,87.2,94.1,57.8,12.3,488
1,88.3,97.7,63.6,18.9,409
1,90.6,98.5,55.9,13.4,426
1,87.1,94,63.2,9.8,434
1,82.2,89.2,47.6,16.1,508
1,81,88.2,59.1,12.2,554
1,82.7,89.4,58.5,14,592
1,85.1,92.3,60.4,16.4,530
1,87.1,95.4,65.1,14.5,446
1,89.3,99.3,65,8.8,454
1,88.7,99.2,70.7,7.6,433
1,92.1,106.4,69.1,14.9,378
1,94.6,107.7,58,8.9,339
1,94.7,104.4,50,8.8,329
1,93.3,103.5,55.1,11.3,361
1,86.9,96.9,75.7,6.1,384
1,88.9,94.7,54.1,13.4,459
1,89.2,94.2,40.3,12.3,466
1,89.5,98.6,58.3,12,439
1,93.9,102.7,54.3,11.7,385
1,91.3,97.6,46.6,11.3,448
1,91.5,97.7,48.1,11,430
1,88.9,95.3,55.1,10.5,427
1,89.8,95.6,49.1,13.8,485
1,86,93.2,65.8,9.1,357
1,84.4,91.8,75.8,13.2,458
1,84.5,91.1,63.1,12.4,487
1,84.9,92.9,75.5,15.3,429
1,86.8,96.4,75.3,13.5,379
1,88.5,95.3,59.2,12.9,433
1,89.2,97.2,57,10.1,460
1,88.6,93.6,42.4,13.4,478
1,85,90.6,42.4,11,479
1,84.3,90.9,41.5,8.4,491
1,82.6,90.1,73,14.2,415
1,81.9,88.2,81.8,14.9,382
1,81.1,87.5,71.2,14,434
1,83.7,90.1,57.8,15.8,473
1,85.4,92,57.5,9.6,469
1,84.5,91.6,65.5,15.6,381
1,82.6,89,72.3,9.3,415
1,83.5,90.4,67.4,7,519
1,84.5,92.8,77,16.7,387
1,83,89.4,47,18.5,476
1,79.3,86.5,45.5,9.8,590
1,81.7,88.8,60.5,17,513
1,82.5,90.1,77.2,14.1,354
1,83.7,91.4,76.1,5.6,466
1,82.2,89.2,85,25.2,112
1,84.2,90.3,56.2,20.4,433
1,79,86.7,55.5,10.7,463
1,79.2,85.5,54.8,8.4,520
1,80.5,87,59.8,5.6,506
1,80.3,87.3,63.9,9.5,512
1,79.5,86.4,72.7,9.4,473
1,81.4,89,71.7,12.4,448
1,84.3,91.9,74.2,13.8,494
1,81.7,88.3,79,14.3,335
1,71.9,78.4,88.7,23,271
1,76.2,81,91.7,6.5,200
1,78.8,82,94,12.9,184
1,64.2,71.2,92.5,12.8,517
1,58.1,62.5,59.7,19.8,550
1,54,58.8,53.8,10.9,532
1,53.8,58.5,48.6,11.7,553
1,52.8,58.5,64.3,8.8,561
1,55.9,62.5,65,7.1,505
1,58.8,65.3,83.9,6.7,379
1,61,68.1,90.7,6.6,459
1,62.3,68.9,66.6,14.8,556
1,56.5,62.8,62.5,12.3,527
1,56.4,62.2,66.8,8.9,413
2,63.6,70.5,85.8,14.8,266
2,63.2,70.4,75.8,3.2,307
2,59.6,66,68.6,18.4,221
2,54.3,58.9,54.3,12.8,101
2,52.3,57.2,68.1,10.4,75
2,55.7,60.4,50.7,16,132
2,56,61.5,76.3,12.6,116
2,54.1,57.2,50.4,19.7,230
2,50.3,55.8,57.4,8,242
2,55,60.7,63.7,9,300
2,62.3,69.3,61.6,14.8,249
2,59.3,65.8,69.3,12.9,229
2,52.2,54.7,38.1,22.1,195
2,43.1,43.4,44.1,24.5,224
2,39.9,42.7,41.5,12.4,237
2,51.6,57.1,52.4,8.7,327
2,56.7,62.6,54.2,11.2,410
2,61,67.2,53.2,11.7,452
2,56.9,62.6,46.5,12.8,343
2,48.5,54.3,70.2,6.6,238
2,54.8,60.7,64.7,12.6,360
2,52.2,57.5,84.8,8.8,218
2,60.2,66.4,80.3,12.1,410
